DSBS,TECH
"IS,NF,CH,BM,PP,FD,EN,TX,OE,OI","TLGN,THCL,TGDO,TGSL,TRFO,TLPG,TKRS,TOLQ,TNGS,TOGS,TELC,TBMSWAS,TSTE,TH2F"
"IS,BM,CH","TNGSCCS,THCLCCS"
AG,"THCL,TLPG,TKRS,TGDO,TNGS,TOGS,TBMSWAS,TELC,TSTE,TGSL,TLGN,TOLQ,TRFO"
"SE,HOU","THCL,TLPG,TKRS,TGDO,TNGS,TOGS,TBMSWAS,TELC,TSTE,TGSL,TLGN,TOLQ,TRFO,THEATPUMP"
PC,"GSL,TLPG,TGDO,TNGS,TELC,TPHEVGSL,TPHEVGDO,TCHEVGSL,TCHEVGDO,TH2F"
PB,"TLPG,TGSL,TGDO,TNGS,TELC,TH2F"
GU,"TLPG,TGSL,TGDO,TNGS,TELC,TCHEVGDO,TH2F"
"PT,GT","TGDO,TELC"
PA,TKRS
"PN,GN","TGDO,TH2F"
BU,"TGDO,TRFO,TKRS,TH2F,TNGS"
"PCH,NEN","TLGN,THCL,TGDO,TRFO,TLPG,TOLQ,TNGS,TOGS"
DAC,"HTDAC,H2DAC,LTDAC"
EW,TEW
