Full.Country.Name;ISO3.Code;Region.Code
Austria;AUT;AUT
Belgium;BEL;BEL
Bulgaria;BGR;BGR
Croatia;HRV;HRV
Cyprus;CYP;CYP
Czech Republic;CZE;CZE
Denmark;DNK;DNK
Estonia;EST;EST
Finland;FIN;FIN
France;FRA;FRA
Germany;DEU;DEU
Greece;GRC;GRC
Hungary;HUN;HUN
Ireland;IRL;IRL
Italy;ITA;ITA
Latvia;LVA;LVA
Lithuania;LTU;LTU
Luxembourg;LUX;LUX
Malta;MLT;MLT
Netherlands;NLD;NLD
Poland;POL;POL
Portugal;PRT;PRT
Romania;ROU;ROU
Slovakia;SVK;SVK
Slovenia;SVN;SVN
Spain;ESP;ESP
Sweden;SWE;SWE
United Kingdom;GBR;GBR
