Gem Region,ISO Code,OPEN-PROM Region
ROW,AFG,OAS
ROW,ALB,NEU
REP,DZA,MEA
ROW,ASM,OAS
ROW,AND,NEU
ROW,AGO,SSA
ROW,AIA,LAM
ROW,ATA,LAM
ROW,ATG,LAM
ARG,ARG,LAM
ROW,ARM,REF
ROW,ABW,LAM
OCE,AUS,CAZ
AUT,AUT,AUT
REP,AZE,REF
ROW,BHS,LAM
ROW,BHR,MEA
ROW,BGD,OAS
ROW,BRB,LAM
REU,BLR,REF
BEL,BEL,BEL
ROW,BLZ,LAM
ROW,BEN,SSA
ROW,BMU,LAM
ROW,BTN,OAS
ROW,BOL,LAM
REU,BIH,NEU
ROW,BWA,SSA
ROW,BVT,LAM
BRA,BRA,LAM
ROW,IOT,OAS
ROW,BRN,OAS
BGR,BGR,BGR
ROW,BFA,SSA
ROW,BDI,SSA
ROW,KHM,OAS
ROW,CMR,SSA
CAN,CAN,CAZ
ROW,CPV,SSA
ROW,CYM,LAM
ROW,CAF,SSA
ROW,TCD,SSA
ROW,CHL,LAM
CHN,CHN,CHA
ROW,CXR,OAS
ROW,CCK,OAS
ROW,COL,LAM
ROW,COM,SSA
ROW,COG,SSA
ROW,COD,SSA
ROW,COK,OAS
ROW,CRI,LAM
ROW,CIV,SSA
CRO,HRV,HRV
ROW,CUB,LAM
CYP,CYP,CYP
CZE,CZE,CZE
DNK,DNK,DNK
ROW,DJI,SSA
ROW,DMA,LAM
ROW,DOM,LAM
ROW,TLS,OAS
ROW,ECU,LAM
ROW,EGY,MEA
ROW,SLV,LAM
ROW,GNQ,SSA
ROW,ERI,SSA
EST,EST,EST
ROW,ETH,SSA
ROW,FLK,LAM
ROW,FRO,NEU
ROW,FJI,OAS
FIN,FIN,FIN
FRA,FRA,FRA
ROW,GUF,LAM
ROW,PYF,OAS
ROW,ATF,OAS
ROW,GAB,SSA
ROW,GMB,SSA
ROW,GEO,REF
DEU,DEU,DEU
ROW,GHA,SSA
ROW,GIB,NEU
GRC,GRC,GRC
ROW,GRL,NEU
ROW,GRD,LAM
ROW,GLP,LAM
ROW,GUM,OAS
ROW,GTM,LAM
ROW,GIN,SSA
ROW,GNB,SSA
ROW,GUY,LAM
ROW,HTI,LAM
ROW,HMD,CAZ
ROW,VAT,NEU
ROW,HND,LAM
ROW,HKG,CHA
HUN,HUN,HUN
REU,ISL,NEU
IND,IND,IND
IDN,IDN,OAS
REP,IRN,MEA
REP,IRQ,MEA
IRL,IRL,IRL
ROW,ISR,MEA
ITA,ITA,ITA
ROW,JAM,LAM
JPN,JPN,JPN
REP,JOR,MEA
ROW,KAZ,REF
ROW,KEN,SSA
ROW,KIR,OAS
ROW,PRK,OAS
KOR,KOR,OAS
REP,KWT,MEA
ROW,KGZ,REF
ROW,LAO,OAS
LVA,LVA,LVA
REP,LBN,MEA
ROW,LSO,SSA
ROW,LBR,SSA
REP,LBY,MEA
REU,LIE,NEU
LTU,LTU,LTU
LUX,LUX,LUX
ROW,MAC,CHA
REU,MKD,NEU
ROW,MDG,SSA
ROW,MWI,SSA
ROW,MYS,OAS
ROW,MDV,OAS
ROW,MLI,SSA
MLT,MLT,MLT
ROW,MHL,OAS
ROW,MTQ,LAM
ROW,MRT,SSA
