variable,SBS
Residential and other sectors,AG
Civil Aviation,BU
Manufacturing Industries and Construction,EN
Water-borne Navigation,GN
Road Transportation no resuspension,GU
Residential and other sectors,HOU
Non-Energy Products from Fuels and Solvent Use,NEN
Manufacturing Industries and Construction,OI
Civil Aviation,PA
Road Transportation no resuspension,PB
Road Transportation no resuspension,PC
Chemical Industry,PCH
Water-borne Navigation,PN
Residential and other sectors,SE
Manufacturing Industries and Construction,BM
Chemical Industry,CH
Manufacturing Industries and Construction,FD
Railways,GT
Metal Industry,IS
Metal Industry,NF
Manufacturing Industries and Construction,OE
Manufacturing Industries and Construction,PP
Railways,PT
Manufacturing Industries and Construction,TX
