ENERDATA,OP,product,flow,fuel,
Total final consumption.Mtoe,NA,TOTAL,TFC,Total,
NA,REN,NA,TFC,NA,
Coal final consumption.Mtoe,HCL,BITCOAL,TFC,Hard coal,
Lignite final consumption.Mtoe,LGN,LIGNITE,TFC,Lignite,
Heavy fuel oil final consumption.Mtoe,CRO,NA,TFC,Fuel oil,
LPG (liquified petroleum gas) final consumption.Mtoe,LPG,LPG,TFC,Liquified petroleum gas,
Motor gasoline final consumption.Mtoe,GSL,NONBIOGASO,TFC,Gasoline,
Kerosene final consumption.Mtoe,KRS,NONBIOJETK,TFC,Kerosene,
NA,GDO,NONBIODIES,TFC,Diesel oil,
NA,RFO,NA,TFC,NA,
NA,OLQ,NA,TFC,NA,
Natural gas final consumption.Mtoe,NGS,NATGAS,TFC,Natural gas,
NA,OGS,NA,TFC,NA,
NA,NUC,NA,TFC,NA,
NA,STE,NA,TFC,NA,
NA,HYD,NA,TFC,NA,
NA,WND,NA,TFC,NA,
NA,SOL,NA,TFC,NA, 
Biomass final consumption of agriculture.Mtoe,BMSWAS,NA,TFC,Biomass,
NA,GEO,NA,TFC,NA,
NA,MET,NA,TFC,NA,
NA,ETH,BIOGASOL,TFC,Ethanol,
NA,BGDO,BIODIESEL,TFC,Biodiesel,
NA,H2F,NA,TFC,NA,
Electricity final consumption of agriculture.Mtoe,ELC,ELECTR,TFC,Electricity,
