ENERDATA,fuel
Total final consumption.Mtoe,Total
Electricity final consumption.Mtoe,Electricity
Biomass final consumption.Mtoe,Biomass
Natural gas final consumption.Mtoe,Natural gas
Gas final consumption.Mtoe,Gases
Heavy fuel oil final consumption.Mtoe,Fuel oil
Jet fuel final consumption.Mt,Kerosene
Motor gasoline final consumption.Mtoe,Gasoline
LPG (liquified petroleum gas) final consumption.Mtoe,Liquified petroleum gas
Lignite final consumption.Mtoe,Lignite
Coal final consumption.Mtoe,Hard coal
