TTECH,TRANSFINAL,variable
TGSL,PC,Capital cost of ICE medium size gasoline car in Euro'15
TLPG,PC,Capital cost of ICE medium size LPG car in Euro'15
TGDO,PC,Capital cost of ICE medium size diesel car in Euro'15
TNGS,PC,Capital cost of ICE medium size CNG car in Euro'15
TELC,PC,Capital cost of Medium size battery electric car in Euro'15
TETH,PC,Capital cost of ICE medium size E85 flex-fuel car in Euro'15
TMET,PC,NA
TPHEVGSL,PC,Capital cost of ICE medium size plug-in hybrid gasoline car in Euro'15
TPHEVGDO,PC,Capital cost of ICE medium size plug-in hybrid diesel car in Euro'15
TH2F,PC,Capital cost of Medium size hydrogen fuel cell in Euro'15
TCHEVGSL,PC,Capital cost of ICE medium size hybrid gasoline car in Euro'15
TCHEVGDO,PC,Capital cost of ICE medium size hybrid diesel car in Euro'15
TKRS,PA,Capital cost of Conventional aircraft in Million Euro'15
TH2F,PA,Capital cost of hydrogen fuel cell Aircraft in Million Euro'15
TGDO,PT,Capital cost of diesel passenger rail in Million Euro'15
TELC,PT,Capital cost of electric passenger rail in Million Euro'15
TMET,PT,NA
TH2F,PT,Capital cost of hydrogen fuel cell passenger rail in Million Euro'15
TGSL,GU,NA
TLPG,GU,Capital cost of 16-32t LPG truck in Euro'15
TGDO,GU,Capital cost of 16-32t diesel truck in Euro'15
TNGS,GU,NA
TELC,GU,Capital cost of 16-32t battery electric truck in Euro'15
TETH,GU,NA
TMET,GU,NA
TPHEVGSL,GU,NA
TPHEVGDO,GU,NA
TH2F,GU,Capital cost of 16-32t Hydrogen fuel cell truck in Euro'15
TCHEVGDO,GU,Capital cost of 16-32t diesel hybrid truck in Euro'15
TGDO,GT,Capital cost of diesel freight rail in Million Euro'15
TELC,GT,Capital cost of electric freight rail in Million Euro'15
TMET,GT,NA
TH2F,GT,Capital cost of hydrogen fuel cell freight rail in Million Euro'15
TGSL,GN,NA
TGDO,GN,Capital cost of diesel/fuel oil freight inland navigation/national maritime vessel in Million Euro'15
TH2F,GN,Capital cost of Hydrogen fuel cell freight vessel in Million Euro'15
TGSL,PN,NA
TGDO,PN,Capital cost of diesel/fuel oil passenger inland navigation/national maritime vessel in Million Euro'15
TH2F,PN,Capital cost of Hydrogen fuel cell passenger vessel in Million Euro'15
TGSL,PB,NA
TLPG,PB,Capital cost of LPG bus in Euro'15
TGDO,PB,Capital cost of Diesel bus in Euro'15
TNGS,PB,Capital cost of CNG bus in Euro'15
TELC,PB,Capital cost of Battery electric bus in Euro'15
TETH,PB,NA
TMET,PB,NA
TPHEVGSL,PB,NA
TPHEVGDO,PB,NA
TH2F,PB,Capital cost of Hydrogen fuel cell bus in Euro'15
TCHEVGSL,PB,NA
TCHEVGDO,PB,Capital cost of Hybrid diesel bus in Euro'15
