ENERDATA,SBS,EF,IEA,flow,Navigate,TREMOVE,FUEL
Motor gasoline final consumption of road transport (excl bioethanol).Mtoe,PC,GSL,NONBIOGASO,TOTTRANS,,Private cars,Gasoline blend
Biodiesel consumption of road transport.Mtoe,PC,BGDO,BIODIESEL,TOTTRANS,,Private cars,Bio Diesel
NA,PC,REN,NA,,,Private cars,
NA,PC,HCL,NA,TOTTRANS,,Private cars,
NA,PC,LGN,NA,,,Private cars,
NA,PC,CRO,NA,,,Private cars,Total Oil products
NA,PC,KRS,NA,,,Private cars,Jet Fuel
Diesel final consumption of road transport (excl biodiesel).Mtoe,PC,GDO,NA,,,Private cars,Diesel
NA,PC,RFO,NA,,,Private cars,Residual fuel oil blend
NA,PC,OLQ,NA,,,Private cars,
NA,PC,OGS,NA,,,Private cars,
NA,PC,NUC,NA,,,Private cars,
NA,PC,STE,NA,,,Private cars,
NA,PC,HYD,NA,,Final Energy|Transportation|Passenger|Hydrogen,Private cars,
NA,PC,WND,NA,,,Private cars,
NA,PC,SOL,NA,,,Private cars,
NA,PC,BMSWAS,NA,,,Private cars,Total Biomass
NA,PC,GEO,NA,,,Private cars,
NA,PC,MET,NA,,,Private cars,Methane from Biogas
NA,PC,H2F,NA,,,Private cars,Total Hydrogen
Electricity final consumption of road transport.Mtoe,PC,ELC,NA,NA,Final Energy|Transportation|Passenger|Electricity,Private cars,Electricity
LPG (liquified petroleum gas) final consumption of road transport.Mtoe,PC,LPG,LPG,TOTTRANS,,Private cars,Liquefied Petroleum Gas
Natural gas final consumption of transport.Mtoe,PC,NGS,NATGAS,TOTTRANS,Final Energy|Transportation|Passenger|Gases,Private cars,Total Natural Gas
Bioethanol consumption of road transport.Mtoe,PC,ETH,BIOGASOL,TOTTRANS,,Private cars,Ethanol
NA,PC,STE1AL,NA,,,Private cars,
NA,PC,STE1AH,NA,,,Private cars,
NA,PC,STE1AD,NA,,,Private cars,
NA,PC,STE1AR,NA,,,Private cars,
NA,PC,STE1AG,NA,,,Private cars,
NA,PC,STE1AB,NA,,,Private cars,
NA,PC,STE1AH2F,NA,,,Private cars,
NA,PC,STE2LGN,NA,,,Private cars,
NA,PC,STE2OSL,NA,,,Private cars,
NA,PC,STE2GDO,NA,,,Private cars,
NA,PC,STE2RFO,NA,,,Private cars,
NA,PC,STE2OLQ,NA,,,Private cars,
NA,PC,STE2NGS,NA,,,Private cars,
NA,PC,STE2OGS,NA,,,Private cars,
NA,PC,STE2BMS,NA,,,Private cars,
NA,PC,PHEVGSL,NA,,,Private cars,
NA,PC,PHEVGDO,NA,,,Private cars,
NA,PC,CHEVGSL,NA,,,Private cars,
NA,PC,CHEVGDO,NA,,,Private cars,
NA,PC,SLD,NA,,,Private cars,
NA,PC,GAS,NA,,,Private cars,
NA,PC,LQD,NA,,Final Energy|Transportation|Passenger|Liquids,Private cars,
NA,PC,OLQT,NA,,,Private cars,
NA,PC,NFF,NA,,,Private cars,
NA,PC,NEF,NA,,,Private cars,
NA,PC,HEATPUMP,NA,,,Private cars,
Motor gasoline final consumption of road transport (excl bioethanol).Mtoe,PB,GSL,NONBIOGASO,TOTTRANS,,Buses,Gasoline blend
Biodiesel consumption of road transport.Mtoe,PB,BGDO,BIODIESEL,TOTTRANS,,Buses,Bio Diesel
NA,PB,REN,NA,,,Buses,
NA,PB,HCL,NA,TOTTRANS,,Buses,
NA,PB,LGN,NA,,,Buses,
NA,PB,CRO,NA,,,Buses,Total Oil products
NA,PB,KRS,NA,,,Buses,Jet Fuel
Diesel final consumption of road transport (excl biodiesel).Mtoe,PB,GDO,NA,,,Buses,Diesel
NA,PB,RFO,NA,,,Buses,Residual fuel oil blend
NA,PB,OLQ,NA,,,Buses,
NA,PB,OGS,NA,,,Buses,
