ENERDATA,SBS,EF,IEA,flow
NA,PCH,REN,NA,NE_CHEM
NA,PCH,HCL,COAL,NE_CHEM
NA,PCH,LGN,LIGNITE,NE_CHEM
Oil final consumption of chemical feedstock.Mtoe,PCH,CRO,CRUDE_OIL,NE_CHEM
LPG (liquified petroleum gas) final consumption of chemical feedstock.Mtoe,PCH,LPG,LPG,NE_CHEM
NA,PCH,GSL,MOTOR_GASOLINE_NONBIO,NE_CHEM
NA,PCH,KRS,KEROSENE_JET_NONBIO,NE_CHEM
"Diesel, heating oil final consumption of chemical feedstock.Mtoe",PCH,GDO,GAS_DIESEL_OIL_NONBIO,NE_CHEM
NA,PCH,RFO,FUEL_OIL_RESIDUAL,NE_CHEM
NA,PCH,OLQ,LIQBIOFUEL_OTH,NE_CHEM
Natural gas final consumption of chemical feedstock.Mtoe,PCH,NGS,NATURAL_GAS,NE_CHEM
NA,PCH,OGS,TCOKEOVS,NE_CHEM
NA,PCH,NUC,NUCLEAR,NE_CHEM
NA,PCH,STE,NA,NE_CHEM
NA,PCH,HYD,HYDRO,NE_CHEM
NA,PCH,WND,WIND,NE_CHEM
NA,PCH,SOL,SOLAR_PV,NE_CHEM
NA,PCH,BMSWAS,PRIMARY_SOLID_BIOFUEL,NE_CHEM
NA,PCH,GEO,GEOTHERMAL,NE_CHEM
NA,PCH,MET,NA,NE_CHEM
NA,PCH,ETH,ETHANE,NE_CHEM
NA,PCH,BGDO,BIODIESEL,NE_CHEM
NA,PCH,H2F,NA,NE_CHEM
NA,PCH,ELC,ELECTRICITY,NE_CHEM
NA,PCH,STE1AL,NA,NE_CHEM
NA,PCH,STE1AH,MAINHEAT,NE_CHEM
NA,PCH,STE1AD,NA,NE_CHEM
NA,PCH,STE1AR,NA,NE_CHEM
NA,PCH,STE1AG,NA,NE_CHEM
NA,PCH,STE1AB,NA,NE_CHEM
NA,PCH,STE1AH2F,NA,NE_CHEM
NA,PCH,STE2LGN,NA,NE_CHEM
NA,PCH,STE2OSL,NA,NE_CHEM
NA,PCH,STE2GDO,NA,NE_CHEM
NA,PCH,STE2RFO,NA,NE_CHEM
NA,PCH,STE2OLQ,NA,NE_CHEM
NA,PCH,STE2NGS,NA,NE_CHEM
NA,PCH,STE2OGS,NA,NE_CHEM
NA,PCH,STE2BMS,NA,NE_CHEM
NA,PCH,PHEVGSL,NA,NE_CHEM
NA,PCH,PHEVGDO,NA,NE_CHEM
NA,PCH,CHEVGSL,NA,NE_CHEM
NA,PCH,CHEVGDO,NA,NE_CHEM
NA,PCH,SLD,NA,NE_CHEM
NA,PCH,GAS,NA,NE_CHEM
NA,PCH,LQD,NA,NE_CHEM
NA,PCH,OLQT,NA,NE_CHEM
NA,PCH,NFF,NA,NE_CHEM
NA,PCH,NEF,NA,NE_CHEM
NA,PCH,HEATPUMP,NA,NE_CHEM
NA,IS,REN,NA,IRONSTL
Coal and lignite final consumption of steel industry.Mtoe,IS,HCL,COAL,IRONSTL
NA,IS,LGN,LIGNITE,IRONSTL
Oil final consumption of steel industry.Mtoe,IS,CRO,CRUDE_OIL,IRONSTL
NA,IS,LPG,LPG,IRONSTL
NA,IS,GSL,MOTOR_GASOLINE_NONBIO,IRONSTL
NA,IS,KRS,KEROSENE_JET_NONBIO,IRONSTL
"Diesel, heating oil final consumption of steel industry.Mtoe",IS,GDO,GAS_DIESEL_OIL_NONBIO,IRONSTL
Heavy fuel oil final consumption of steel industry.Mtoe,IS,RFO,FUEL_OIL_RESIDUAL,IRONSTL
NA,IS,OLQ,LIQBIOFUEL_OTH,IRONSTL
Natural gas final consumption of steel industry.Mtoe,IS,NGS,NATURAL_GAS,IRONSTL
Coke oven gas final consumption of steel industry.Mtoe,IS,OGS,TCOKEOVS,IRONSTL
NA,IS,NUC,NUCLEAR,IRONSTL
NA,IS,STE,NA,IRONSTL
NA,IS,HYD,HYDRO,IRONSTL
NA,IS,WND,WIND,IRONSTL
NA,IS,SOL,SOLAR_PV,IRONSTL
Biomass final consumption of steel industry.Mtoe,IS,BMSWAS,PRIMARY_SOLID_BIOFUEL,IRONSTL
NA,IS,GEO,GEOTHERMAL,IRONSTL
NA,IS,MET,NA,IRONSTL
NA,IS,ETH,ETHANE,IRONSTL
NA,IS,BGDO,BIODIESEL,IRONSTL
NA,IS,H2F,NA,IRONSTL
Electricity final consumption of steel industry.Mtoe,IS,ELC,ELECTRICITY,IRONSTL
NA,IS,STE1AL,NA,IRONSTL
Heat final consumption of steel industry.Mtoe,IS,STE1AH,MAINHEAT,IRONSTL
NA,IS,STE1AD,NA,IRONSTL
NA,IS,STE1AR,NA,IRONSTL
NA,IS,STE1AG,NA,IRONSTL
NA,IS,STE1AB,NA,IRONSTL
NA,IS,STE1AH2F,NA,IRONSTL
NA,IS,STE2LGN,NA,IRONSTL
NA,IS,STE2OSL,NA,IRONSTL
NA,IS,STE2GDO,NA,IRONSTL
NA,IS,STE2RFO,NA,IRONSTL
NA,IS,STE2OLQ,NA,IRONSTL
NA,IS,STE2NGS,NA,IRONSTL
NA,IS,STE2OGS,NA,IRONSTL
NA,IS,STE2BMS,NA,IRONSTL
NA,IS,PHEVGSL,NA,IRONSTL
NA,IS,PHEVGDO,NA,IRONSTL
NA,IS,CHEVGSL,NA,IRONSTL
NA,IS,CHEVGDO,NA,IRONSTL
NA,IS,SLD,NA,IRONSTL
NA,IS,GAS,NA,IRONSTL
NA,IS,LQD,NA,IRONSTL
NA,IS,OLQT,NA,IRONSTL
NA,IS,NFF,NA,IRONSTL
NA,IS,NEF,NA,IRONSTL
NA,IS,HEATPUMP,NA,IRONSTL
NA,NF,REN,NA,NONFERR
Coal and lignite final consumption of non ferrous metals.Mtoe,NF,HCL,COAL,NONFERR
NA,NF,LGN,LIGNITE,NONFERR
Oil final consumption of non ferrous metals.Mtoe,NF,CRO,CRUDE_OIL,NONFERR
NA,NF,LPG,LPG,NONFERR
NA,NF,GSL,MOTOR_GASOLINE_NONBIO,NONFERR
NA,NF,KRS,KEROSENE_JET_NONBIO,NONFERR
"Diesel, heating oil final consumption of non ferrous metals.Mtoe",NF,GDO,GAS_DIESEL_OIL_NONBIO,NONFERR
