ENERDATA,SBS,EF
NA,PCH,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PCH,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PCH,LGN
NA,PCH,CRO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PCH,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,PCH,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PCH,KRS
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PCH,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,PCH,RFO
NA,PCH,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PCH,NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PCH,OGS
NA,PCH,NUC
NA,PCH,STE
NA,PCH,HYD
NA,PCH,WND
NA,PCH,SOL
NA,PCH,BMSWAS
NA,PCH,GEO
NA,PCH,MET
NA,PCH,ETH
NA,PCH,BGDO
NA,PCH,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,PCH,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PCH,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PCH,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PCH,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,PCH,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PCH,STE1AG
NA,PCH,STE1AB
NA,PCH,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PCH,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PCH,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PCH,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,PCH,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PCH,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PCH,STE2NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PCH,STE2OGS
NA,PCH,STE2BMS
NA,PCH,PHEVGSL
NA,PCH,PHEVGDO
NA,PCH,CHEVGSL
NA,PCH,CHEVGDO
NA,PCH,SLD
NA,PCH,GAS
NA,PCH,LQD
NA,PCH,OLQT
NA,PCH,NFF
NA,PCH,NEF
NA,PCH,HEATPUMP
NA,IS,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,IS,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,IS,LGN
NA,IS,CRO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,IS,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,IS,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,IS,KRS
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,IS,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,IS,RFO
NA,IS,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,IS,NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,IS,OGS
NA,IS,NUC
NA,IS,STE
NA,IS,HYD
NA,IS,WND
NA,IS,SOL
NA,IS,BMSWAS
NA,IS,GEO
NA,IS,MET
NA,IS,ETH
NA,IS,BGDO
NA,IS,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,IS,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,IS,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,IS,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,IS,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,IS,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,IS,STE1AG
NA,IS,STE1AB
NA,IS,STE1AH2F
