ENERDATA,EFS
Lignite own use of energy industries.Mtoe,LGN
Coal own use of energy industries.Mtoe,HCL
Crude oil own use of energy industries.Mtoe,CRO
Motor gasoline own use of energy industries.Mtoe,GSL
"Diesel, heating oil own use of energy industries.Mtoe",GDO
Heavy fuel oil own use of energy industries.Mtoe,RFO
LPG (liquified petroleum gas) own use of energy industries.Mtoe,LPG
"Oil products own use of energy industries.Mtoe - Motor gasoline own use of energy industries.Mtoe - Diesel, heating oil own use of energy industries.Mtoe - Heavy fuel oil own use of energy industries.Mtoe - LPG (liquified petroleum gas) own use of energy industries.Mtoe - Kerosene own use of energy industries.Mtoe",OLQ
Natural gas own use of energy industries.Mtoe,NGS
Gas own use of energy industries.Mtoe - Natural gas own use of energy industries.Mtoe,OGS
NA,STE
NA,BMSWAS
Electricity own use of energy industries.Mtoe,ELC
Kerosene own use of energy industries.Mtoe,KRS
