flow,IEAEF
EMINES,"ANTHRACITE,LIGNITE"
EOILGASEX,"CRUDE_OIL,NATURAL_GAS"
EBLASTFUR,"BLAST_FURNACE_GAS"
EBIOGAS,"BIOGASES"
EGASWKS,"ELECTRICITY,HEAT"
ELNG,"NATURAL_GAS"
ECOKEOVS,"COKE_OVEN_GAS"
EPATFUEL,"PATENT_FUEL"
EBKB,"BKB"
EREFINER,"GAS_DIESEL_OIL_NONBIO,FUEL_OIL_RESIDUAL,OIL_PRIM_PRODUCTS_ND,REFINERY_GAS,OIL_SHALE"
ECOALLIQ,"GAS_DIESEL_OIL_NONBIO,FUEL_OIL_RESIDUAL,KEROSENE_JET_NONBIO"
EGTL,"LPG,GAS_DIESEL_OIL_NONBIO,NAPHTHA"
EPOWERPLT,"ELECTRICITY"
EPUMPST,"STORAGE"
ENUC,"NUCLEAR"
ECHARCOAL,"CHARCOAL"
ENONSPEC,"OTH_ENSOURC"
