IEA,PGALL
"HARDCOAL,BROWN,ANTCOAL,COKCOAL,BITCOAL,SUBCOAL,OVENCOKE,GASCOKE,COALTAR,GASWKSGS,COKEOVGS,MANGAS",ATHCOAL
"LIGNITE,PATFUEL,BKB,BLFURGS,OXYSTGS",ATHLGN
"REFINGAS,ETHANE,LPG,NONBIOGASO,AVGAS,JETGAS,JETKERO,OTHKERO,NONBIODIES,RESFUEL,NAPHTHA,WHITESP,LUBRIC,BITUMEN,PARWAX,PETCOKE,ONONSPEC",ATHOIL
"SOLARPV",PGSOL
"SOLARPV",PGCSP
"WIND",PGAWND
"WIND",PGAWNO
"GEOTHERM",PGOTHREN
"NUCLEAR",PGANUC
"HYDRO",PGLHYD
"HYDRO",PGSHYD
"NATGAS",ATHGAS
"INDWASTE,MUNWASTER,MUNWASTEN,PRIMSBIO,BIOGASES,BIOGASOL,BIODIESEL,OBIOLIQ,RENEWNS,CHARCOAL",ATHBMSWAS
