IEA,OPEN-PROM
"ANTHRACITE,COKING_COAL,OTH_BITCOAL,COKE_OVEN_COKE_OTH,COKE_OVEN_GAS,BLAST_FURNACE_GAS,PATENT_FUEL,GAS_COKE,COAL_TAR,HARDCOAL_ND,BITUMEN",HCL
"BKB,LIGNITE,SUB_BITCOAL,BROWNCOAL_ND,PEAT,PEAT_PRODUCTS",LGN
"MOTOR_GASOLINE_NONBIO",GSL
"CRUDE_OIL,REFINERY_FEEDSTOCKS,OIL_SHALE",CRO
"GAS_DIESEL_OIL_NONBIO,OIL_PRIM_PRODUCTS_ND,LUBRICANTS,OTH_SEC_OIL_PRODS_ND,PETROLEUM_COKE,KEROSENE_OTHER",GDO
"FUEL_OIL_RESIDUAL,PARAFFIN_WAXES",RFO
"KEROSENE_JET_NONBIO,AVIATION_GASOLINE,GASOLINE_JET",KRS
"KEROSENE_JET_BIO",BKRS
"BIODIESEL,BIOFUEL_NONSPEC",BGDO
"BIOGASOLINE,LIQBIOFUEL_OTHER",BGSL
"LPG",LPG
"NATURAL_GAS",NGS
"PRIMARY_SOLID_BIOFUEL,CHARCOAL,WASTE_MUNICIPAL_REN",BMSWAS
"OTH_RECOVGASES,BIOGASES,MANUFACTURED_GAS_OUTPUT,GASWORKS_GAS",OGS
"ADDITIVES,ETHANE,HYDROCARBONS_OTHER,NAPHTHA,NGL,WASTE_INDUSTRIAL_NONREN,WASTE_MUNICIPAL_NONREN,WHITE_SPIRIT,OTH_ENSOURC,REFINERY_GAS",OLQ
"ELECTRICITY",ELC
"SOLAR_PV,SOLAR_THERMAL",SOL
"GEOTHERMAL,TIDAL_WAVE_OCEAN",GEO
"NUCLEAR",NUC
"HYDRO",HYD
"WIND",WND
"HEAT,HEAT_COMBUSTIBLES_NS",STE
