IEA,OPEN-PROM
IRONSTL,IS
NE_CHEM,PCH
NONFERR,NF
CHEMICAL,CH
NONMET,BM
PAPERPRO,PP
FOODPRO,FD
CONSTRUC,EN
TEXTILES,TX
"MINING,WOODPRO",OE
"COMMPUB,ONONSPEC",SE
"AGRI_FOREST,FISHING",AG
RESIDENT,HOU
ROAD,"PC,PB,GU"
DOMESAIR,PA
RAIL,"PT,GT"
DOMESNAV,"PN,GN"
"BUNKERS_MARINE,BUNKERS_AVIATION",BU
"NE_IRONSTL,NE_NONFERR,NE_NONMET,NE_TRANSEQ,NE_MACHINE,NE_MINING,NE_FOODPRO,NE_PAPERPRO,NE_WOODPRO,NE_CONSTRUC,NE_TEXTILES,NE_INONSPEC,NE_TRANS,NE_OTHER,NE_TOT",NEN
"MACHINE,TRANSEQ,INONSPEC,TRNONSPE,PIPELINE",OI
